,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.014106321334838866,0.0034632319061509978,0.0032873153686523438,0.000986260946414934,0.006158482110660254,{'ridge__alpha': 0.006158482110660254},0.06876991394840225,-0.009329115488097716,0.05309263469555691,0.02969122920948536,0.08112598048984722,0.0446701285710388,0.03200329104582949,5,0.08057389562184718,0.09582497188360994,0.08703585972901823,0.09563897712996461,0.09086891436001857,0.0899885237448917,0.005729228315469508
1,0.011333942413330078,0.0016638076714472745,0.002868461608886719,0.0004036194146277051,1.0,{'ridge__alpha': 1.0},0.06879107826632348,-0.009348224385444994,0.05309826051220142,0.029732937153672,0.08115356721249015,0.04468552375184841,0.03201560830544065,1,0.08058140930617161,0.09582710480956526,0.08705252746131507,0.09564580241265098,0.09087405619680287,0.08999618003730117,0.00572698143253706
2,0.012259483337402344,0.0007227223094665349,0.003203296661376953,0.0005037927670664902,0.4281332398719387,{'ridge__alpha': 0.4281332398719387},0.06878494002910372,-0.009337031152694747,0.05310738587030216,0.02971386445054907,0.0811363478235184,0.044681101404155724,0.03200924592930389,2,0.08057540684318933,0.09582315754828588,0.08704180736518675,0.09564088743660337,0.090870858020777,0.08999042344280847,0.00572818592367196
3,0.011675119400024414,0.0002971877785875761,0.003096342086791992,0.00038520462796120506,0.01438449888287663,{'ridge__alpha': 0.01438449888287663},0.06876944743037307,-0.009329115488097716,0.05309263469555691,0.029691307210316056,0.08112598048984722,0.044670050867599106,0.03200321348337364,6,0.08057424368463667,0.09582463454270246,0.08703570195680746,0.09563904928356239,0.09086826619575022,0.08998837913269184,0.0057290557746957314
4,0.012204170227050781,0.0009123195265357628,0.003310394287109375,0.0007431335297312697,3.792690190732254e-05,{'ridge__alpha': 3.792690190732254e-05},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,7,0.08057411421432596,0.0958253403968517,0.0870351443692126,0.09563924169706281,0.0908692629758072,0.08998862073065206,0.005729368204179629
5,0.011017751693725587,0.0007516253063726912,0.0033872127532958984,0.00016629883037047347,0.0011288378916846883,{'ridge__alpha': 0.0011288378916846883},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,7,0.08057397961114088,0.0958251862930188,0.08703540570177597,0.09563898437227798,0.09086931136341617,0.08998857346832596,0.00572930483116152
6,0.012501335144042969,0.00027134563348288105,0.00365300178527832,0.0002881144023628597,0.07847599703514607,{'ridge__alpha': 0.07847599703514607},0.06877757849460811,-0.00933098677700899,0.05309178043543718,0.029691019957256835,0.0811369260781853,0.04467326363769569,0.032007545319574816,4,0.08057304492409234,0.09582658034090083,0.08703631655708931,0.09563974659646299,0.0908684744886448,0.08998883258143804,0.005729926807132743
7,0.01089930534362793,0.00028011465955414067,0.0033139705657958983,0.0007838582068826153,5.455594781168515e-07,{'ridge__alpha': 5.455594781168515e-07},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,7,0.08057411421432596,0.0958253403968517,0.0870351443692126,0.09563924169706281,0.0908692629758072,0.08998862073065206,0.005729368204179629
8,0.01184549331665039,0.0005262889885252023,0.003085422515869141,0.00020116105568842508,0.18329807108324336,{'ridge__alpha': 0.18329807108324336},0.0687777270003473,-0.009338549934276042,0.053102920317402366,0.029690962206641792,0.0811358288193297,0.04467377768188903,0.032010461682228916,3,0.08057521772372206,0.09582432422563061,0.08703871335170177,0.09564226489413742,0.09086922799469489,0.08998994963797735,0.005729026054180462
9,0.010689640045166015,0.0004447838402255377,0.003109264373779297,0.0002563546543783956,1.2742749857031322e-06,{'ridge__alpha': 1.2742749857031322e-06},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,7,0.08057411421432596,0.0958253403968517,0.0870351443692126,0.09563924169706281,0.0908692629758072,0.08998862073065206,0.005729368204179629
